2025-12-25 08:32:51 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-12-25 09:10:33 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_yes_no],无参数
2025-12-25 09:10:33 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/config/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-12-25 09:10:33 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_yes_no],耗时:[42]毫秒
2025-12-25 09:10:33 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/config/list],耗时:[85]毫秒
2025-12-25 09:10:43 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_device_type],无参数
2025-12-25 09:10:43 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_normal_disable],无参数
2025-12-25 09:10:43 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_grant_type],无参数
2025-12-25 09:10:43 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_normal_disable],耗时:[4]毫秒
2025-12-25 09:10:43 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_device_type],耗时:[4]毫秒
2025-12-25 09:10:43 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_grant_type],耗时:[4]毫秒
2025-12-25 09:10:44 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/client/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-12-25 09:10:44 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/client/list],耗时:[104]毫秒
2025-12-25 09:12:04 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/config/1],无参数
2025-12-25 09:12:04 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/config/1],耗时:[13]毫秒
2025-12-25 09:12:17 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_show_hide],无参数
2025-12-25 09:12:17 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/menu/list],无参数
2025-12-25 09:12:17 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_show_hide],耗时:[7]毫秒
2025-12-25 09:12:17 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/menu/list],耗时:[54]毫秒
2025-12-25 09:21:17 [Thread-4] INFO  c.a.s.c.c.window.SlidingRingWindow - JVM is about to exit, emitting data in the Window
2025-12-25 09:21:17 [SpringApplicationShutdownHook] INFO  c.a.s.c.c.init.SnailJobCloseListener - snail-job client about to shutdown v1.8.0
2025-12-25 09:21:17 [SpringApplicationShutdownHook] INFO  c.a.s.c.c.l.report.AbstractLogReport - AsyncReport Log about to shutdown
2025-12-25 09:21:17 [SpringApplicationShutdownHook] INFO  c.a.s.c.c.window.SlidingRingWindow - Sliding window is about to exit, emitting data in the Window
2025-12-25 09:21:17 [SpringApplicationShutdownHook] INFO  c.a.s.c.c.l.report.AbstractLogReport - AsyncReport Log has been shutdown
2025-12-25 09:21:17 [SpringApplicationShutdownHook] INFO  c.a.s.c.c.init.SnailJobCloseListener - snail-job client closed successfully v1.8.0
2025-12-25 09:21:56 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-12-25 09:21:56 [main] INFO  org.dromara.DromaraApplication - Starting DromaraApplication using Java 24.0.2 with PID 10892 (D:\test\ruoyi\RuoYi-Vue-Plus-v5.5.1\ruoyi-admin\target\classes started by dmx in D:\test\ruoyi)
2025-12-25 09:21:56 [main] INFO  org.dromara.DromaraApplication - The following 1 profile is active: "dev"
2025-12-25 09:22:05 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-25 09:22:06 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-25 09:22:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-25 09:22:07 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@61e34bec
2025-12-25 09:22:07 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-25 09:22:07 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-25 09:22:07 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-25 09:22:14 [main] INFO  o.d.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-25 09:22:14 [main] INFO  org.redisson.Version - Redisson 3.51.0
2025-12-25 09:22:15 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-25 09:22:15 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-25 09:22:18 [main] INFO  o.d.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-25 09:22:19 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@41beb473
2025-12-25 09:22:23 [main] INFO  o.d.w.p.modes.sb.config.BeanConfig - 【warm-flow】，加载完成
2025-12-25 09:22:25 [main] INFO  io.undertow - starting server: Undertow - 2.3.20.Final
2025-12-25 09:22:25 [main] INFO  org.xnio - XNIO version 3.8.16.Final
2025-12-25 09:22:25 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.16.Final
2025-12-25 09:22:25 [main] INFO  org.jboss.threads - JBoss Threads version 3.7.0.Final
2025-12-25 09:22:25 [main] INFO  org.dromara.DromaraApplication - Started DromaraApplication in 30.854 seconds (process running for 31.391)
2025-12-25 09:22:25 [main] INFO  o.d.c.sse.listener.SseTopicListener - 初始化SSE主题订阅监听器成功
2025-12-25 09:22:26 [main] INFO  o.d.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-12-25 09:22:58 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-25 09:22:58 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/getInfo],无参数
2025-12-25 09:22:59 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/getInfo],耗时:[848]毫秒
2025-12-25 09:22:59 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/menu/getRouters],无参数
2025-12-25 09:22:59 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/menu/getRouters],耗时:[141]毫秒
2025-12-25 09:23:00 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2025-12-25 09:23:00 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /resource/sse],参数类型[param],参数:[{"Authorization":["Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJaMjBad1Z4Mm1CTUhRZEtqOWNaMGVJbmVaYWxaRXBVdiIsImNsaWVudGlkIjoiZTVjZDdlNDg5MWJmOTVkMWQxOTIwNmNlMjRhN2IzMmUiLCJ0ZW5hbnRJZCI6IjAwMDAwMCIsInVzZXJJZCI6MSwidXNlck5hbWUiOiJhZG1pbiIsImRlcHRJZCI6MTAzLCJkZXB0TmFtZSI6IueglOWPkemDqOmXqCIsImRlcHRDYXRlZ29yeSI6IiJ9.ZekMtKG8ja-mNI2JRcztMJeNeEN3I7mOmh9GF9ReklM"],"clientid":["e5cd7e4891bf95d1d19206ce24a7b32e"]}]
2025-12-25 09:23:00 [XNIO-1 task-2] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 20, 剩余令牌 => 19, 缓存key => 'global:rate_limit:/auth/tenant/list:0:0:0:0:0:0:0:1:'
2025-12-25 09:23:00 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[58]毫秒
2025-12-25 09:23:02 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /monitor/online/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-12-25 09:23:02 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_device_type],无参数
2025-12-25 09:23:02 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_device_type],耗时:[59]毫秒
2025-12-25 09:23:02 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /monitor/online/list],耗时:[70]毫秒
2025-12-25 09:23:03 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /monitor/cache],无参数
2025-12-25 09:23:03 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /monitor/cache],耗时:[56]毫秒
2025-12-25 09:23:25 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/tenant/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-12-25 09:23:25 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/tenant/list],耗时:[61]毫秒
2025-12-25 09:23:27 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/tenant/package/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-12-25 09:23:27 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/tenant/package/list],耗时:[37]毫秒
2025-12-25 09:23:30 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_normal_disable],无参数
2025-12-25 09:23:30 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_user_sex],无参数
2025-12-25 09:23:30 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_normal_disable],耗时:[4]毫秒
2025-12-25 09:23:30 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_user_sex],耗时:[4]毫秒
2025-12-25 09:23:30 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-12-25 09:23:30 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/deptTree],无参数
2025-12-25 09:23:30 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/config/configKey/sys.user.initPassword],无参数
2025-12-25 09:23:30 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/config/configKey/sys.user.initPassword],耗时:[54]毫秒
2025-12-25 09:23:30 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/list],耗时:[125]毫秒
2025-12-25 09:23:30 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/deptTree],耗时:[205]毫秒
2025-12-25 09:23:33 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/role/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-12-25 09:23:33 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/role/list],耗时:[92]毫秒
2025-12-25 09:23:35 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_show_hide],无参数
2025-12-25 09:23:35 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/menu/list],无参数
2025-12-25 09:23:35 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_show_hide],耗时:[3]毫秒
2025-12-25 09:23:35 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/menu/list],耗时:[72]毫秒
2025-12-25 09:28:17 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-12-25 09:28:17 [main] INFO  org.dromara.DromaraApplication - Starting DromaraApplication using Java 24.0.2 with PID 16592 (D:\test\ruoyi\RuoYi-Vue-Plus-v5.5.1\ruoyi-admin\target\classes started by dmx in D:\test\ruoyi)
2025-12-25 09:28:17 [main] INFO  org.dromara.DromaraApplication - The following 1 profile is active: "dev"
2025-12-25 09:28:22 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-25 09:28:23 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-25 09:28:23 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-25 09:28:23 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@3f7f9d3f
2025-12-25 09:28:23 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-25 09:28:23 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-25 09:28:23 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-25 09:28:26 [main] INFO  o.d.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-25 09:28:26 [main] INFO  org.redisson.Version - Redisson 3.51.0
2025-12-25 09:28:26 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-25 09:28:26 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-25 09:28:28 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: C:\Users\dmx/snailJob/worker
2025-12-25 09:28:28 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: C:\Users\dmx/snailJob/worker
2025-12-25 09:28:28 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: C:\Users\dmx/snailJob/worker
2025-12-25 09:28:30 [main] INFO  o.d.common.json.config.JacksonConfig - 初始化 jackson 配置
